ID,SORTIMENT,TYPERING,JAAR_VAN_AANPLANT,STRAATNAAM,WOONPLAATS,RD_XCOORD,RD_YCOORD,longitude,latitude
1047648,Aesculus hippocastanum,Monumentale Boom,1895,Aalsmeerderweg,Rijsenhout,"109582,868","476077,278",4.72181647330033,52.2708334012379
1025866,Fraxinus excelsior,Waardevolle Boom,1915,Hoofdweg,Lijnden,"111484,313","484205,921",4.74862474435368,52.3440396972173
850471,Tilia x europaea,Monumentale Boom,1963,Hoofdweg,Hoofddorp,"107528,317","479860,731",4.69118706284368,52.3046625781257
942318,Tilia vulgaris,Monumentale Boom,1950,Kruisweg,Hoofddorp,"108298,973","479449,777",4.70254220968565,52.3010351586072
942448,Tilia vulgaris,Monumentale Boom,1950,Kruisweg,Hoofddorp,"108296,373","479446,336",4.70250456878719,52.3010040106915
939632,Tilia vulgaris,Monumentale Boom,1950,Kruisweg,Hoofddorp,"108293,4","479443,876",4.70246132238172,52.3009816537476
939633,Tilia vulgaris,Monumentale Boom,1950,Kruisweg,Hoofddorp,"108290,566","479440,977",4.70242018361795,52.3009553635815
384527,Tilia platyphyllos,Monumentale Boom,1935,Hoofdweg,Nieuw-Vennep,"103044,486","474773,449",4.62623323119095,52.2585388241755
398352,Aesculus hippocastanum,Monumentale Boom,1915,Hoofdweg,Nieuw-Vennep,"103361,794","475152,878",4.63082245004519,52.261978550787
845961,Tilia x europaea,Monumentale Boom,1963,Hoofdweg,Hoofddorp,"107488,087","479818,281",4.69060323474715,52.3042776117793
942446,Tilia vulgaris,Monumentale Boom,1950,Kruisweg,Hoofddorp,"108305,126","479448,849",4.70263254080402,52.3010273359433
860784,Ginkgo biloba,Waardevolle Boom,1914,Hoofdweg,Hoofddorp,"107297,326","479515,949",4.68784926524382,52.3015440659956
888196,Fagus sylvatica,Monumentale Boom,1895,Aalsmeerderweg,Rijsenhout,"107844,097","474135,064",4.69661477501583,52.2532325639796
1030393,Aesculus hippocastanum,Waardevolle Boom,1935,Hoofdweg,Lijnden,"111015,288","483796,191",4.74179584489478,52.3403201669377
905211,Populus x canescens,Monumentale Boom,1960,Kruisweg,Hoofddorp,"108507,91","479216,843",4.70563717064518,52.2989594289298
792864,Tilia vulgaris,Monumentale Boom,1950,Hoofdweg,Hoofddorp,"106736,869","478923,385",4.67971781238463,52.2961698872841
249022,Fraxinus excelsior,Waardevolle Boom,1935,Lisserweg,Lisserbroek,"99407,22","475135,253",4.57290538345331,52.2614359312513
932039,Platanus x hispanica,Waardevolle Boom,1935,Leimuiderdijk,Rijsenhout,"109053,708","474478,674",4.71428146156358,52.2564226704948
928469,Platanus x hispanica,Waardevolle Boom,1935,Leimuiderdijk,Rijsenhout,"109057,544","474481,319",4.71433728041966,52.2564467609288
563102,Aesculus hippocastanum,Waardevolle Boom,1935,Huigsloterdijk,Weteringbrug,"104380,652","470634,38",4.64641997315099,52.2214647641336
325759,Tilia platyphyllos,Waardevolle Boom,1990,Klinkenbergstraat,Zwaanshoek,"102371,67","480644,844",4.61546596954029,52.3112410298413
466613,Platanus x hispanica,Monumentale Boom,1960,Zwanenwater,Nieuw-Vennep,"103577,932","475881,661",4.63387741523433,52.2685483249253
889048,Platanus x hispanica,Waardevolle Boom,1969,Parklaan,Hoofddorp,"107973,235","479823,1",4.69771509754763,52.3043625321087
915805,Platanus x hispanica,Waardevolle Boom,1969,Parklaan,Hoofddorp,"107949,123","479844,903",4.69735856522478,52.3045564185497
917260,Platanus x hispanica,Waardevolle Boom,1969,Parklaan,Hoofddorp,"107936,102","479856,564",4.69716604454626,52.3046601046108
940939,Fagus sylvatica 'Pendula',Monumentale Boom Landel. Lijst,1915,Hoofdweg,Hoofddorp,"108224,762","480676,927",4.7012843867343,52.312057315287
927013,Fagus sylvatica,Monumentale Boom,1915,Hoofdweg,Hoofddorp,"108222,526","480686,259",4.70125030734305,52.3121409924323
972104,Aesculus hippocastanum,Monumentale Boom,1935,Aalsmeerderdijk,Rijsenhout,"110182,68","475528,604",4.73067615410255,52.2659514289775
